X,Y,id,schoolname,score,num_fixtures,zip
-87.746731,41.897819,305,Mcnair,0.030952380952380957,21.0,60651
-87.676288,41.967847,306,Mcpherson,0.0,24.0,60640
-87.634306,41.669444,307,Metcalfe,0.0,11.0,60628
-87.552788,41.731717,308,Mireles,0.0380952380952381,21.0,60617
-87.683185,41.892082,309,Mitchell,0.05714285714285715,14.0,60612
-87.616618,41.814358,310,Mollison,0.0,11.0,60653
-87.719224,41.929989,311,Monroe,0.0,12.0,60647
-87.676147,41.774572,312,Montessori Englewood,0.0,10.0,60636
-87.696941,41.912505,313,Moos,0.0,28.0,60647
-87.688549,41.784313,314,Morrill,0.0,12.0,60629
-87.70581,41.695734,315,Mount Greenwood,0.0,24.0,60655
-87.647652,41.701952,316,Mount Vernon,0.0,15.0,60643
-87.721888,41.92091,317,Mozart,0.0,23.0,60647
-87.716832,41.950078,318,Murphy,0.0,15.0,60618
-87.59334,41.798535,319,Murray,0.0,13.0,60615
-87.747936,41.89181,320,Nash,0.0,23.0,60644
-87.629308,41.8528,321,National Teachers,0.0,50.0,60616
-87.620933,41.738407,322,Neil,0.0,5.0,60619
-87.644561,41.941637,323,Nettelhorst,0.030769230769230767,26.0,60657
-87.64599,41.913947,324,Newberry,0.03157894736842106,19.0,60614
-87.673168,42.007703,325,New Field,0.0,41.0,60626
-87.542928,41.743829,326,New Sullivan,0.0,21.0,60617
-87.647453,41.784942,327,Nicholson,0.0,4.0,60621
-87.689139,41.797714,328,Nightingale,0.008695652173913044,23.0,60632
-87.551862,41.743753,329,Ninos Heroes,0.0,15.0,60617
-87.73142,41.919581,330,Nixon,0.0,16.0,60639
-87.729955,41.906155,331,Nobel,0.0,11.0,60651
-87.678195,41.878809,332,Noble - Bulls Hs,0.0,21.0,60612
-87.635117,41.778369,333,Noble - Johnson Hs,0.0,17.0,60621
-87.676111,41.865817,334,Noble - Uic Hs,0.0,17.0,60608
-87.735238,41.911674,335,North-Grand Hs,0.0,21.0,60639
-87.708987,41.858564,336,North Lawndale - Christiana Hs,0.11428571428571427,21.0,60623
-87.707151,41.961721,337,North River,0.0,8.0,60625
-87.722386,41.982973,338,Northside Learning Hs,0.05,16.0,60659
-87.708708,41.981315,339,Northside Prep Hs,0.0,22.0,60625
-87.802979,41.988153,340,Norwood Park,0.07692307692307693,13.0,60631
-87.659405,41.893548,341,Ogden Hs,0.0,20.0,60642
-87.629297,41.899976,342,Ogden,0.0,9.0,60610
-87.645469,41.75467,343,Oglesby,0.0,9.0,60620
-87.572806,41.768602,344,Okeeffe,0.0,16.0,60649
-87.793108,41.99379,345,Onahan,0.15454545454545454,22.0,60631
-87.812054,41.978501,346,Oriole Park,0.0,27.0,60656
-87.67521,41.857755,347,Orozco,0.0,18.0,60608
-87.726166,41.894449,348,Orr Hs,0.1602941176470588,34.0,60624
-87.71719,41.838791,349,Ortiz De Dominguez,0.0,29.0,60623
-87.665426,41.891806,350,Otis,0.0,14.0,60642
-87.674865,41.774571,351,Otoole,0.0,19.0,60636
-87.705749,41.74285,352,Owen,0.0,10.0,60652
-87.622546,41.670618,353,Owens,0.0125,16.0,60628
-87.739213,41.973289,354,Palmer,0.0,15.0,60630
-87.634086,41.77078,355,Parker,0.0,11.0,60621
-87.611546,41.766477,356,Park Manor,0.0,13.0,60637
-87.582954,41.768555,357,Parkside,0.010526315789473684,19.0,60649
-87.732666,41.786895,358,Pasteur,0.0,19.0,60629
-87.635385,41.901575,359,Payton Hs,0.0,22.0,60610
-87.667378,41.803515,360,Peace And Education Hs,0.04,10.0,60609
-87.719216,41.787899,361,Peck,0.0,19.0,60629
-87.66585,41.983456,362,Peirce,0.010526315789473684,19.0,60640
-87.722386,41.858372,363,Penn,0.02,20.0,60623
-87.65798,41.856029,364,Perez,0.08333333333333333,12.0,60608
-87.618338,41.836527,365,Pershing,0.0,21.0,60616
-87.652045,41.745961,366,Perspectives - Leadership Hs,0.05333333333333334,15.0,60620
-87.624788,41.827784,367,Perspectives - Math & Sci Hs,0.0,15.0,60653
-87.712583,41.981557,368,Peterson,0.0,20.0,60625
-87.619796,41.82388,369,Phillips Hs,0.0,46.0,60653
-87.68696,41.879118,370,Phoenix Military Hs,0.011111111111111113,36.0,60612
-87.731261,41.90014,371,Piccolo,0.0,31.0,60651
-87.683291,41.8529,372,Pickard,0.016,25.0,60608
-87.662209,41.858849,373,Pilsen,0.002403846153846154,26.0,60608
-87.607891,41.74034,374,Pirie,0.08333333333333333,12.0,60619
-87.692526,41.860259,375,Plamondon,0.0,7.0,60608
-87.761007,41.956988,376,Portage Park,0.008,25.0,60641
-87.556789,41.760332,377,Powell,0.0,28.0,60649
-87.669528,41.928841,378,Prescott,0.0,10.0,60614
-87.765781,41.921318,379,Prieto,0.0,33.0,60639
-87.677761,41.907053,380,Pritzker,0.0,5.0,60622
-87.761048,41.920059,381,Prosser Hs,0.0,34.0,60639
-87.663996,41.775367,382,Providence Englewood,0.0,16.0,60636
-87.772414,41.965619,383,Prussing,0.013333333333333334,15.0,60630
-87.683801,41.918486,384,Pulaski,0.013793103448275864,29.0,60647
-87.609431,41.688819,385,Pullman,0.1,12.0,60628
-87.715423,41.88621,386,Raby Hs,0.014285714285714287,28.0,60624
-87.675966,41.760614,387,Randolph,0.0,14.0,60636
-87.670922,41.960746,388,Ravenswood,0.0,5.0,60613
-87.594752,41.792348,389,Ray,0.0,13.0,60637
-87.604925,41.804174,390,Reavis,0.01,20.0,60615
-87.719541,41.941094,391,Reilly,0.25999999999999995,10.0,60618
-87.768983,41.943019,392,Reinberg,0.0,21.0,60634
-87.600177,41.764196,393,Revere,0.0,20.0,60619
-87.662278,41.802881,394,Richards Hs,0.0,18.0,60609
